espisode,reward
0,-5151
1,-2293
2,-2848
3,-1935
4,-2784
5,-2523
6,-1843
7,-1584
8,-2237
9,-2198
10,-1750
11,-1744
12,-3882
13,-1394
14,-3311
15,-1691
16,-7339
17,-1298
18,-3989
19,-1524
20,-3274
21,-2665
22,-1414
23,-2127
24,-2761
25,-1319
26,-793
27,-1026
28,-1347
29,-1635
30,-1302
31,-2574
32,-1636
33,-1420
34,-3477
35,-750
36,-1853
37,-1096
38,-1791
39,-1204
40,-1477
41,-2105
42,-1507
43,-2195
44,-933
45,-1347
46,-804
47,-884
48,-1009
49,-991
50,-1122
51,-1367
52,-947
53,-1414
54,-1187
55,-4410
56,-1778
57,-1114
58,-2774
59,-2097
60,-1310
61,-1104
62,-1247
63,-3534
64,-6307
65,-1295
66,-1570
67,-1677
68,-1190
69,-2507
70,-1544
71,-1580
72,-897
73,-551
74,-1347
75,-2881
76,-1355
77,-1494
78,-740
79,-884
80,-1404
81,-764
82,-969
83,-1142
84,-1222
85,-2717
86,-2095
87,-2063
88,-981
89,-1947
90,-776
91,-1606
92,-1414
93,-2269
94,-1274
95,-910
96,-2072
97,-1899
98,-1746
99,-891
100,-1324
101,-2613
102,-3083
103,-3451
104,-2540
105,-3406
106,-1104
107,-734
108,-2962
109,-1466
110,-1356
111,-2742
112,-4159
113,-1474
114,-1378
115,-815
116,-1634
117,-6833
118,-1903
119,-2113
120,-1851
121,-2423
122,-979
123,-3336
124,-1892
125,-1609
126,-2240
127,-2244
128,-3605
129,-2902
130,-684
131,-1627
132,-774
133,-1914
134,-2455
135,-2525
136,-1024
137,-980
138,-1268
139,-2132
140,-1591
141,-1044
142,-1977
143,-1154
144,-1066
145,-5997
146,-1004
147,-774
148,-774
149,-1244
150,-964
151,-5342
152,-1481
153,-1101
154,-991
155,-1874
156,-634
157,-1151
158,-4311
159,-6550
160,-2231
161,-1400
162,-904
163,-3621
164,-2729
165,-1154
166,-1994
167,-614
168,-821
169,-1984
170,-864
171,-2020
172,-934
173,-1952
174,-794
175,-774
176,-911
177,-1374
178,-2185
179,-1079
180,-2949
181,-658
182,-984
183,-1264
184,-944
185,-1343
