episode,reward
0,-3764
1,-6083
2,-2812
3,-4309
4,-8577
5,-3525
6,-7067
7,-6201
8,-6836
9,-2129
10,-3876
11,-8147
12,-13989
13,-2264
14,-3072
15,-10275
16,-2664
17,-4493
18,-2152
19,-3799
20,-8931
21,-2992
22,-6607
23,-16886
24,-26721
25,-13270
26,-1624
27,-2132
28,-2044
29,-4452
30,-4131
31,-2587
32,-12193
33,-9639
34,-2980
35,-3845
36,-4492
37,-3531
38,-2942
39,-7342
40,-7851
41,-5856
42,-1919
43,-13358
44,-3081
45,-3619
46,-10037
47,-3732
48,-2599
49,-4399
50,-3988
51,-4624
52,-2124
53,-4548
54,-3561
55,-1985
56,-4379
57,-1972
58,-4976
59,-4723
60,-5479
61,-7495
62,-4191
63,-4134
64,-2679
65,-7390
66,-4076
67,-6325
68,-3737
69,-2042
70,-2515
71,-10550
72,-4352
73,-2904
74,-2155
75,-2455
76,-7189
77,-2269
78,-2322
79,-4259
80,-8245
81,-4906
82,-4998
83,-6180
84,-2643
85,-7594
86,-11072
87,-1929
88,-7102
89,-7756
90,-7370
91,-4411
92,-5132
93,-4794
94,-4709
95,-8664
96,-3394
97,-8833
98,-6497
99,-9134
