episode,reward
0,-1053
1,-476
2,-608
3,-638
4,-476
5,-446
6,-485
7,-2223
8,-536
9,-817
10,-420
11,-1214
12,-617
13,-1058
14,-527
15,-1372
16,-2429
17,-523
18,-442
19,-2277
20,-1839
21,-433
22,-460
23,-1120
24,-1718
25,-476
26,-1985
27,-669
28,-929
29,-604
30,-1873
31,-763
32,-595
33,-1517
34,-448
35,-1686
36,-2279
37,-505
38,-544
39,-448
40,-1406
41,-651
42,-425
43,-793
44,-1181
45,-575
46,-661
47,-416
48,-1706
49,-1258
50,-515
51,-484
52,-1663
53,-485
54,-975
55,-472
56,-771
57,-963
58,-507
59,-1199
60,-1096
61,-1534
62,-1647
63,-774
64,-416
65,-416
66,-1095
67,-1529
68,-1555
69,-649
70,-518
71,-1894
72,-731
73,-526
74,-1325
75,-566
76,-775
77,-1597
78,-502
79,-878
80,-1134
81,-1479
82,-583
83,-1037
84,-761
85,-674
86,-1528
87,-598
88,-1371
89,-961
90,-1821
91,-783
92,-1984
93,-365
94,-442
95,-1445
96,-661
97,-760
98,-427
99,-1641
