episode,reward
0,-19930
1,-20533
2,-21029
3,-1411
4,-18628
5,-10619
6,-21133
7,-22333
8,2622
9,-22233
10,-28751
11,-10016
12,-5433
13,-22133
14,-21529
15,-20633
16,392
17,1867
18,-22496
19,-8988
20,-12681
21,-7633
22,-8391
23,-21331
24,-18427
25,-22133
26,2671
27,-1082
28,-19183
29,-20433
30,-10150
31,3020
32,-20731
33,-17431
34,-20633
35,-13175
36,2167
37,-9413
38,2069
39,-15958
40,-22933
41,-15860
42,-16183
43,-12733
44,-22233
45,-13242
46,-21983
47,3575
48,-8816
49,-22233
50,-13376
51,-15
52,-8131
53,-22273
54,-2211
55,1193
56,-1329
57,-4627
58,1469
59,-4008
60,-1706
61,-20330
62,-19177
63,-7379
64,-19946
65,-14955
66,-7507
67,-14915
68,2386
69,-13305
70,-18230
71,1819
72,-22182
73,3271
74,-21080
75,-15376
76,1918
77,-20833
78,-9220
79,-27657
80,-4027
81,-21880
82,2571
83,-2205
84,-2578
85,-20833
86,-22229
87,-18082
88,-22031
89,-16233
90,6051
91,-19133
92,-11715
93,-19133
94,-22233
95,-16382
96,-13264
97,-17528
98,1469
99,-6066
100,-16833
101,-9614
102,336
103,8354
104,-9784
105,-13863
106,-37134
107,-22282
108,1669
109,-20431
110,9360
111,-10426
112,-7189
113,-19228
114,1867
115,9191
116,8114
117,-15714
118,2069
119,-7631
120,-22482
121,1918
122,3471
123,-22582
124,2117
125,2620
126,-2181
127,-19929
128,-781
129,-20802
130,-26199
131,-20480
132,-6246
133,2769
134,-16133
135,-17633
136,-17431
137,-20530
138,-17393
139,-19162
140,-9560
141,-22482
142,-6572
143,-20333
144,-20282
145,-9180
146,-8364
147,-17531
148,-20582
149,-20782
150,-15565
151,-5333
152,-21833
153,-14496
154,-22633
155,-2827
156,-21382
157,-17277
158,3887
159,-19033
160,-21981
161,-22133
162,982
163,-8131
164,-12929
165,-23369
166,-28092
167,2171
168,-21480
169,4155
170,3022
171,-11673
172,2973
173,-15833
174,-22931
175,-20083
176,-6813
177,-8510
178,-14548
179,-22133
180,-19480
181,-20342
182,-19631
183,-16790
184,-20633
185,-20633
186,-13803
187,-14087
188,-1378
189,-10875
190,-20833
191,-18726
192,-15491
193,-19978
194,2222
195,-22382
196,-22582
197,-20533
198,2420
199,-16931
200,-18631
201,2269
202,8125
203,-19726
204,3173
205,-21083
206,-5894
207,-20476
208,-13412
209,-3176
210,-21933
211,-10394
212,-17429
213,-20631
214,-22183
215,-10991
216,2320
217,-18303
218,2520
219,-11027
220,6036
221,-19031
222,-20182
223,1367
224,-2493
225,3324
226,-18333
227,4539
228,-7660
229,2726
230,-19083
231,-20582
232,-22833
233,-21629
234,-23147
235,4928
236,1918
237,-1382
238,-15642
239,-17141
240,-19727
241,-20683
242,-15008
243,-129
244,4878
245,-4976
246,-21931
247,-7945
248,-4493
249,-22131
250,-16615
251,-12756
252,-16929
253,-21228
254,-18133
255,10723
256,-30160
257,8582
258,-22382
259,-21180
260,-4816
261,-22033
262,-15759
263,-16068
264,-430
265,6892
266,-17933
267,-16858
268,1670
269,-17082
270,-4306
271,-12412
272,-21830
273,1955
274,-22383
275,-2511
276,-6753
277,-22182
278,-22181
279,3565
280,-11313
281,-21232
282,-10127
283,-9462
284,-22083
285,1569
286,-17563
287,-18575
288,269
289,-17230
290,-19480
291,-18811
292,-1129
293,-27094
294,3371
295,-13182
296,-678
297,-3431
298,-22282
299,-5529
300,-25364
301,2571
302,-22731
303,-16333
304,-18972
305,-1417
306,-19872
307,2067
308,-17782
309,10808
310,-20398
311,991
312,2071
313,2569
314,-14682
315,-2807
316,4956
317,-13578
318,-22383
319,1718
320,-16529
321,-12660
322,1018
323,-22482
324,-23900
325,-8809
326,-1772
327,-19333
328,-11858
329,-8834
330,-15168
331,2767
332,-20982
333,2030
334,-17433
335,2420
336,-21833
337,2171
338,-17968
339,-15019
340,873
341,24
342,-5379
343,-3130
344,-8033
345,-18050
346,-22133
347,2067
348,-22233
349,-631
350,-9015
351,-17676
352,6986
353,1318
354,-18933
355,-20927
356,-18680
357,-22083
358,6683
359,-10980
360,-20079
361,-23949
362,-22282
363,-3528
364,-20597
365,-16208
366,2421
367,-21178
368,-3178
369,5679
370,-10127
371,-2986
372,-5534
373,-19008
374,-16303
375,-19429
376,-20833
377,-17280
378,-16433
379,-42564
380,-19133
381,1969
382,-9382
383,4648
384,-7874
385,-19779
386,-20831
387,-21333
388,1469
389,-927
390,-22482
391,-20130
392,-11131
393,2167
394,-18255
395,-10174
396,-17272
397,1218
398,-22382
399,-21333
400,-22031
401,-1079
402,-6688
403,-14633
404,-22604
405,-15625
406,-16282
407,-6181
408,-15808
409,-6663
410,-10523
411,20
412,-16733
413,-22482
414,2422
415,-12929
416,5536
417,-15780
418,-20077
419,1618
420,-25228
421,-11033
422,-11982
423,-18725
424,-14740
425,2622
426,-11604
427,-22333
428,-18882
429,1318
430,-18731
431,-22033
432,-11392
433,-1729
434,2569
435,-17655
436,-3128
437,-20531
438,-20733
439,-4282
440,-20181
441,-5304
442,8435
443,1867
444,-22480
445,-22831
446,-21329
447,1967
448,-1164
449,-20351
450,-20882
451,-21129
452,3872
453,884
454,-3223
455,3373
456,-16233
457,-2665
458,5641
459,-2682
460,3322
461,-16113
462,-16033
463,-18333
464,481
465,-20531
466,-20633
467,-14233
468,6732
469,-8433
470,-12045
471,2069
472,1469
473,-14151
474,-17833
475,-15933
476,-15664
477,-22133
478,-9078
479,-29880
480,-22183
481,-8111
482,-15915
483,-8580
484,-22182
485,2771
486,1818
487,2120
488,3148
489,-9917
490,-5619
491,-5178
492,9859
493,-22083
494,-11521
495,-16752
496,-14531
497,1018
498,-20982
499,-19233
500,2669
501,-11916
502,-32539
503,-18573
504,-20833
505,-19082
506,3875
507,-22231
508,1369
509,-17438
510,493
511,2922
512,-19483
513,-19683
514,-16710
515,-18519
516,4630
517,-3730
518,-8276
519,-22382
520,2637
521,20
522,-20031
523,-20982
524,-3277
525,6574
526,721
527,-16160
528,1625
529,-22031
530,2067
531,-22182
532,1318
533,-5079
534,1469
