episode,reward
0,-431
1,-451
2,-431
3,-530
4,-530
5,-451
6,-451
7,-431
8,-431
9,-530
10,-530
11,-451
12,-451
13,-431
14,-530
15,-431
16,-515
17,-530
18,-530
19,-530
20,-530
21,-431
22,-530
23,-451
24,-530
25,-530
26,-451
27,-431
28,-530
29,-515
30,-530
31,-433
32,-515
33,-515
34,-431
35,-530
36,-530
37,-451
38,-530
39,-530
40,-451
41,-530
42,-530
43,-451
44,-530
45,-530
46,-530
47,-530
48,-451
49,-431
50,-530
51,-530
52,-530
53,-530
54,-530
55,-451
56,-451
57,-451
58,-530
59,-451
60,-530
61,-416
62,-451
63,-451
64,-431
65,-451
66,-451
67,-451
68,-530
69,-515
70,-431
71,-451
72,-530
73,-530
74,-451
75,-530
76,-530
77,-451
78,-451
79,-530
80,-431
81,-451
82,-451
83,-530
84,-431
85,-530
86,-530
87,-451
88,-530
89,-530
90,-431
91,-530
92,-530
93,-451
94,-451
95,-530
96,-451
97,-530
98,-431
99,-530
100,-530
101,-530
102,-530
103,-515
104,-530
105,-451
106,-530
107,-530
108,-530
109,-530
110,-431
111,-530
112,-530
113,-530
114,-451
115,-530
116,-431
117,-550
118,-530
119,-530
120,-530
121,-530
122,-530
123,-530
124,-431
125,-530
126,-418
127,-530
128,-451
129,-530
130,-530
131,-451
132,-530
133,-515
134,-530
135,-530
136,-515
137,-530
138,-433
139,-431
140,-530
141,-530
142,-530
143,-515
144,-530
145,-431
146,-530
147,-515
148,-530
149,-451
150,-530
151,-431
152,-550
153,-431
154,-530
155,-530
156,-530
157,-530
158,-530
159,-530
160,-431
161,-530
162,-550
163,-530
164,-530
165,-530
166,-451
167,-451
168,-451
169,-515
170,-530
171,-530
172,-550
173,-530
174,-451
175,-530
176,-431
177,-431
178,-530
179,-530
180,-451
181,-451
182,2
183,-530
184,-515
185,-530
186,-530
187,-530
188,-416
189,-451
190,-451
191,-530
192,-451
193,-530
194,-451
195,-530
196,-515
197,-451
198,-530
199,-530
200,-550
201,-431
202,-451
203,-451
204,-515
205,-451
206,-530
207,-515
208,-530
209,-515
210,-530
211,-530
212,-530
213,-431
214,-530
215,-530
216,-431
217,-431
218,-530
219,-431
220,-530
221,-451
222,-530
223,-530
224,-530
225,-530
226,-431
227,-451
228,-530
229,-451
230,-515
231,-515
232,-451
233,-431
234,-451
235,-515
236,-151
237,-550
238,-530
239,-433
240,-530
241,-530
242,-530
243,-451
244,-451
245,-530
246,-451
247,-530
248,-530
249,-530
250,-530
251,-515
252,-433
253,-530
254,-451
255,-530
256,-451
257,-530
258,-530
259,-515
260,-530
261,-451
262,-530
263,-530
264,-515
265,-515
266,-530
267,-451
268,-431
269,-530
270,-451
271,-530
272,-451
273,-451
274,-530
275,-151
276,-515
277,-151
278,-431
279,-515
280,-530
281,-530
282,-515
283,-431
284,-151
285,-530
286,-515
287,-530
288,-530
289,-530
290,-550
291,-530
292,-530
293,-530
294,-530
295,-530
296,-451
297,-431
298,-515
299,-530
300,-515
301,-530
302,-530
303,-515
304,-153
305,-451
306,-530
307,-451
308,-530
309,-530
310,-416
311,-550
312,-550
313,-451
314,-530
315,-431
316,-151
317,-550
318,-451
319,-515
320,-151
321,-530
322,-530
323,-530
324,-530
325,-451
326,-550
327,-431
328,-530
329,-550
330,-530
331,-451
332,-530
333,-530
334,-451
335,-530
336,-451
337,-451
338,-550
339,-451
340,-433
341,-431
342,-431
343,-530
344,-515
345,-530
346,-530
347,-515
348,-530
349,-451
350,2
351,-416
352,-550
353,-151
354,-431
355,-515
356,-530
357,-530
358,-530
359,-451
360,-433
361,-431
362,-451
363,-530
364,-515
365,-451
366,-530
367,-530
368,-530
369,-530
370,-530
371,-515
372,-530
373,-550
374,-431
375,-550
376,-451
377,-451
378,-451
379,-431
380,-530
381,-530
382,-515
383,-530
384,-451
385,-431
386,-416
387,-151
388,-530
389,-451
390,-515
391,-530
392,-451
393,-416
394,-451
395,-451
396,-550
397,-530
398,-550
399,-530
400,-550
401,-451
402,-530
403,-530
404,-451
405,-451
406,-451
407,-431
408,-530
409,-97
410,-550
411,-451
412,-515
413,-431
414,-530
415,-530
416,-530
417,-431
418,-250
419,-530
420,-530
421,-250
422,-530
423,-515
424,-530
425,-451
426,-160
427,2
428,-431
429,-451
430,-451
431,-431
432,-530
433,-530
434,-431
435,-431
436,-451
437,-431
438,-530
439,-416
440,-451
441,-530
442,-530
443,-550
444,-451
445,-550
446,-530
447,-451
448,-515
449,-451
450,-530
451,-530
452,-550
453,-451
454,-431
455,-530
456,-530
457,-451
458,-451
459,-451
460,-530
461,-451
462,-530
463,2
464,-451
465,-451
466,-550
467,-451
468,-550
469,-530
470,-515
471,-530
472,-431
473,-451
474,2
475,-451
476,-530
477,-151
478,-431
479,-151
480,-530
481,-431
482,-451
483,-530
484,-431
485,-530
486,-431
487,-451
488,-451
489,-451
490,-550
491,-451
492,-515
493,-431
494,-530
495,-530
496,-530
497,-431
498,-451
499,-530
500,-451
501,-416
502,-431
503,-550
504,-416
505,-530
506,-451
507,-431
508,-530
